,VMAF,PSNR,P1204_3_MOS,COVER_SSC,COVER_TSC,COVER_ASC,COVER_FSC,LD_PCT,SI_PCT,TI_PCT,VCA_E_PCT,VCA_H_PCT,EVCA_SC_PCT,EVCA_TC_PCT,CARS_PCT
VMAF,1.0,0.9505855937866831,0.9845656763932953,0.902477779124731,0.9415178774498603,0.8544481214055424,0.9460921173279692,0.8768547750633711,0.9862563631492713,0.8693972341083696,0.9865604677113661,0.9498493959481288,0.90914555785555,0.8358138856004746,0.7513783932071237
PSNR,0.9505855937866831,1.0,0.9646278374823753,0.858760595916695,0.9373700504470368,0.8809626129958631,0.9500452533613145,0.8023889745905883,0.9206059864863776,0.7683299832956237,0.9240539647121495,0.8787740424850724,0.8591062674491955,0.7889966629827041,0.7220252846379733
P1204_3_MOS,0.9845656763932953,0.9646278374823753,1.0,0.8995868959689136,0.9508812992594212,0.8511139012504004,0.9518600248399189,0.865115050426856,0.9597766362709551,0.8165608291398199,0.9647619571875127,0.927730189033572,0.9040337482825445,0.8455655958728607,0.7251276424146668
COVER_SSC,0.902477779124731,0.858760595916695,0.8995868959689136,1.0,0.9263802040941272,0.7438984053659372,0.9068502649132333,0.8521122985870877,0.9046698531940078,0.778808731997645,0.863497684770938,0.8766655948837018,0.7195087861950487,0.6768156569710704,0.702328465343711
COVER_TSC,0.9415178774498603,0.9373700504470368,0.9508812992594212,0.9263802040941272,1.0,0.8572066739870795,0.9898791143725071,0.8327741503695735,0.9186767784009428,0.767984766114763,0.9026007442167107,0.8895743686607441,0.8239911342439196,0.7846930760705327,0.6880240723701445
COVER_ASC,0.8544481214055424,0.8809626129958631,0.8511139012504004,0.7438984053659372,0.8572066739870795,1.0,0.9214299026434019,0.6457163330375086,0.8504310012131672,0.715041279071616,0.8453133776371423,0.8462793709379168,0.8294991395889026,0.8299708404459183,0.6638122179470001
COVER_FSC,0.9460921173279692,0.9500452533613145,0.9518600248399189,0.9068502649132333,0.9898791143725071,0.9214299026434019,1.0,0.8074805725669211,0.9284845952079539,0.7779552018381186,0.9142737319768791,0.90547270762125,0.8489440051117183,0.8194382232745385,0.7035870648215766
LD_PCT,0.8768547750633711,0.8023889745905883,0.865115050426856,0.8521122985870877,0.8327741503695735,0.6457163330375086,0.8074805725669211,1.0,0.8697641412256689,0.7600302482646516,0.8545715797351998,0.8158861274804319,0.7175243488029532,0.59381937673777,0.6980211598968302
SI_PCT,0.9862563631492713,0.9206059864863776,0.9597766362709551,0.9046698531940078,0.9186767784009428,0.8504310012131672,0.9284845952079539,0.8697641412256689,1.0,0.9064830898685104,0.9901176557448278,0.9670055538046307,0.8906225726163972,0.8105584776858783,0.7592586449197612
TI_PCT,0.8693972341083696,0.7683299832956237,0.8165608291398199,0.778808731997645,0.767984766114763,0.715041279071616,0.7779552018381186,0.7600302482646516,0.9064830898685104,1.0,0.8952962709089126,0.8703083803789322,0.7827739998793874,0.6630949015354907,0.7264289227627032
VCA_E_PCT,0.9865604677113661,0.9240539647121495,0.9647619571875127,0.863497684770938,0.9026007442167107,0.8453133776371423,0.9142737319768791,0.8545715797351998,0.9901176557448278,0.8952962709089126,1.0,0.9570933749036037,0.934820864119389,0.8510320687242109,0.7452263231439741
VCA_H_PCT,0.9498493959481288,0.8787740424850724,0.927730189033572,0.8766655948837018,0.8895743686607441,0.8462793709379168,0.90547270762125,0.8158861274804319,0.9670055538046307,0.8703083803789322,0.9570933749036037,1.0,0.8842019093940103,0.8479499270449453,0.7314026532529775
EVCA_SC_PCT,0.90914555785555,0.8591062674491955,0.9040337482825445,0.7195087861950487,0.8239911342439196,0.8294991395889026,0.8489440051117183,0.7175243488029532,0.8906225726163972,0.7827739998793874,0.934820864119389,0.8842019093940103,1.0,0.9520596178650782,0.6306995403658524
EVCA_TC_PCT,0.8358138856004746,0.7889966629827041,0.8455655958728607,0.6768156569710704,0.7846930760705327,0.8299708404459183,0.8194382232745385,0.59381937673777,0.8105584776858783,0.6630949015354907,0.8510320687242109,0.8479499270449453,0.9520596178650782,1.0,0.5205550239540031
CARS_PCT,0.7513783932071237,0.7220252846379733,0.7251276424146668,0.702328465343711,0.6880240723701445,0.6638122179470001,0.7035870648215766,0.6980211598968302,0.7592586449197612,0.7264289227627032,0.7452263231439741,0.7314026532529775,0.6306995403658524,0.5205550239540031,1.0
